2022-05-13 19:13:28.218 main E/wse: Exception in thread "main" 
2022-05-13 19:13:28.218 main E/wse: com.mysql.cj.jdbc.exceptions.CommunicationsException: Communications link failure

The last packet sent successfully to the server was 0 milliseconds ago. The driver has not received any packets from the server.
2022-05-13 19:13:28.219 main E/wse: 	at com.mysql.cj.jdbc.exceptions.SQLError.createCommunicationsException(SQLError.java:174)
2022-05-13 19:13:28.219 main E/wse: 	at com.mysql.cj.jdbc.exceptions.SQLExceptionsMapping.translateException(SQLExceptionsMapping.java:64)
2022-05-13 19:13:28.219 main E/wse: 	at com.mysql.cj.jdbc.ConnectionImpl.createNewIO(ConnectionImpl.java:836)
2022-05-13 19:13:28.220 main E/wse: 	at com.mysql.cj.jdbc.ConnectionImpl.<init>(ConnectionImpl.java:456)
2022-05-13 19:13:28.220 main E/wse: 	at com.mysql.cj.jdbc.ConnectionImpl.getInstance(ConnectionImpl.java:246)
2022-05-13 19:13:28.220 main E/wse: 	at com.mysql.cj.jdbc.NonRegisteringDriver.connect(NonRegisteringDriver.java:197)
2022-05-13 19:13:28.220 main E/wse: 	at java.sql.DriverManager.getConnection(Unknown Source)
2022-05-13 19:13:28.221 main E/wse: 	at java.sql.DriverManager.getConnection(Unknown Source)
2022-05-13 19:13:28.221 main E/wse: 	at db.SQLConnection.<init>(SQLConnection.java:20)
2022-05-13 19:13:28.221 main E/wse: 	at server.ArduinoServer.main(ArduinoServer.java:23)
2022-05-13 19:13:28.221 main E/wse: Caused by: com.mysql.cj.exceptions.CJCommunicationsException: Communications link failure

The last packet sent successfully to the server was 0 milliseconds ago. The driver has not received any packets from the server.
2022-05-13 19:13:28.221 main E/wse: 	at sun.reflect.NativeConstructorAccessorImpl.newInstance0(Native Method)
2022-05-13 19:13:28.221 main E/wse: 	at sun.reflect.NativeConstructorAccessorImpl.newInstance(Unknown Source)
2022-05-13 19:13:28.222 main E/wse: 	at sun.reflect.DelegatingConstructorAccessorImpl.newInstance(Unknown Source)
2022-05-13 19:13:28.222 main E/wse: 	at java.lang.reflect.Constructor.newInstance(Unknown Source)
2022-05-13 19:13:28.222 main E/wse: 	at com.mysql.cj.exceptions.ExceptionFactory.createException(ExceptionFactory.java:61)
2022-05-13 19:13:28.222 main E/wse: 	at com.mysql.cj.exceptions.ExceptionFactory.createException(ExceptionFactory.java:105)
2022-05-13 19:13:28.223 main E/wse: 	at com.mysql.cj.exceptions.ExceptionFactory.createException(ExceptionFactory.java:151)
2022-05-13 19:13:28.223 main E/wse: 	at com.mysql.cj.exceptions.ExceptionFactory.createCommunicationsException(ExceptionFactory.java:167)
2022-05-13 19:13:28.223 main E/wse: 	at com.mysql.cj.protocol.a.NativeSocketConnection.connect(NativeSocketConnection.java:91)
2022-05-13 19:13:28.224 main E/wse: 	at com.mysql.cj.NativeSession.connect(NativeSession.java:144)
2022-05-13 19:13:28.224 main E/wse: 	at com.mysql.cj.jdbc.ConnectionImpl.connectOneTryOnly(ConnectionImpl.java:956)
2022-05-13 19:13:28.224 main E/wse: 	at com.mysql.cj.jdbc.ConnectionImpl.createNewIO(ConnectionImpl.java:826)
2022-05-13 19:13:28.225 main E/wse: 	... 7 more
2022-05-13 19:13:28.225 main E/wse: Caused by: java.net.ConnectException: Connection refused: connect
2022-05-13 19:13:28.225 main E/wse: 	at java.net.DualStackPlainSocketImpl.connect0(Native Method)
2022-05-13 19:13:28.226 main E/wse: 	at java.net.DualStackPlainSocketImpl.socketConnect(Unknown Source)
2022-05-13 19:13:28.226 main E/wse: 	at java.net.AbstractPlainSocketImpl.doConnect(Unknown Source)
2022-05-13 19:13:28.226 main E/wse: 	at java.net.AbstractPlainSocketImpl.connectToAddress(Unknown Source)
2022-05-13 19:13:28.226 main E/wse: 	at java.net.AbstractPlainSocketImpl.connect(Unknown Source)
2022-05-13 19:13:28.227 main E/wse: 	at java.net.PlainSocketImpl.connect(Unknown Source)
2022-05-13 19:13:28.227 main E/wse: 	at java.net.SocksSocketImpl.connect(Unknown Source)
2022-05-13 19:13:28.227 main E/wse: 	at java.net.Socket.connect(Unknown Source)
2022-05-13 19:13:28.227 main E/wse: 	at com.mysql.cj.protocol.StandardSocketFactory.connect(StandardSocketFactory.java:155)
2022-05-13 19:13:28.228 main E/wse: 	at com.mysql.cj.protocol.a.NativeSocketConnection.connect(NativeSocketConnection.java:65)
2022-05-13 19:13:28.228 main E/wse: 	... 10 more
